_id,movie_name,movie_year,movie_actors,movie_rating,movie_review_url
0435761,Toy Story 3,2010,Lee Unkrich (dir.), Tom Hanks, Tim Allen,8.2,https://www.imdb.com/title/tt0435761/reviews?ref_=tt_urv
0070735,The Sting,1973,George Roy Hill (dir.), Paul Newman, Robert Redford,8.2,https://www.imdb.com/title/tt0070735/reviews?ref_=tt_urv
0017136,Metropolis,1927,Fritz Lang (dir.), Brigitte Helm, Alfred Abel,8.2,https://www.imdb.com/title/tt0017136/reviews?ref_=tt_urv
0059578,For a Few Dollars More,1965,Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef,8.2,https://www.imdb.com/title/tt0059578/reviews?ref_=tt_urv
1832382,A Separation,2011,Asghar Farhadi (dir.), Payman Maadi, Leila Hatami,8.2,https://www.imdb.com/title/tt1832382/reviews?ref_=tt_urv
0044741,Ikiru,1952,Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko,8.2,https://www.imdb.com/title/tt0044741/reviews?ref_=tt_urv
0036775,Double Indemnity,1944,Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck,8.2,https://www.imdb.com/title/tt0036775/reviews?ref_=tt_urv
0056592,To Kill a Mockingbird,1962,Robert Mulligan (dir.), Gregory Peck, John Megna,8.2,https://www.imdb.com/title/tt0056592/reviews?ref_=tt_urv
8267604,Capharnaüm,2018,Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw,8.2,https://www.imdb.com/title/tt8267604/reviews?ref_=tt_urv
0053604,The Apartment,1960,Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine,8.2,https://www.imdb.com/title/tt0053604/reviews?ref_=tt_urv
0097576,Indiana Jones and the Last Crusade,1989,Steven Spielberg (dir.), Harrison Ford, Sean Connery,8.2,https://www.imdb.com/title/tt0097576/reviews?ref_=tt_urv
1049413,Up,2009,Pete Docter (dir.), Edward Asner, Jordan Nagai,8.2,https://www.imdb.com/title/tt1049413/reviews?ref_=tt_urv
0119488,L.A. Confidential,1997,Curtis Hanson (dir.), Kevin Spacey, Russell Crowe,8.2,https://www.imdb.com/title/tt0119488/reviews?ref_=tt_urv
1255953,Incendies,2010,Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin,8.2,https://www.imdb.com/title/tt1255953/reviews?ref_=tt_urv
0071853,Monty Python and the Holy Grail,1975,Terry Gilliam (dir.), Graham Chapman, John Cleese,8.2,https://www.imdb.com/title/tt0071853/reviews?ref_=tt_urv
0113277,Heat,1995,Michael Mann (dir.), Al Pacino, Robert De Niro,8.2,https://www.imdb.com/title/tt0113277/reviews?ref_=tt_urv
0042876,Rashômon,1950,Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô,8.2,https://www.imdb.com/title/tt0042876/reviews?ref_=tt_urv
0095016,Die Hard,1988,John McTiernan (dir.), Bruce Willis, Alan Rickman,8.2,https://www.imdb.com/title/tt0095016/reviews?ref_=tt_urv
0372784,Batman Begins,2005,Christopher Nolan (dir.), Christian Bale, Michael Caine,8.2,https://www.imdb.com/title/tt0372784/reviews?ref_=tt_urv
0055630,Yojimbo,1961,Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno,8.2,https://www.imdb.com/title/tt0055630/reviews?ref_=tt_urv
0105695,Unforgiven,1992,Clint Eastwood (dir.), Clint Eastwood, Gene Hackman,8.2,https://www.imdb.com/title/tt0105695/reviews?ref_=tt_urv
6966692,Green Book,2018,Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali,8.2,https://www.imdb.com/title/tt6966692/reviews?ref_=tt_urv
0363163,Downfall,2004,Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara,8.2,https://www.imdb.com/title/tt0363163/reviews?ref_=tt_urv
0118849,Children of Heaven,1997,Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian,8.2,https://www.imdb.com/title/tt0118849/reviews?ref_=tt_urv
0053291,Some Like It Hot,1959,Billy Wilder (dir.), Marilyn Monroe, Tony Curtis,8.2,https://www.imdb.com/title/tt0053291/reviews?ref_=tt_urv
0347149,Howl's Moving Castle,2004,Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura,8.2,https://www.imdb.com/title/tt0347149/reviews?ref_=tt_urv
1950186,Ford v Ferrari,2019,James Mangold (dir.), Matt Damon, Christian Bale,8.2,https://www.imdb.com/title/tt1950186/reviews?ref_=tt_urv
0057115,The Great Escape,1963,John Sturges (dir.), Steve McQueen, James Garner,8.2,https://www.imdb.com/title/tt0057115/reviews?ref_=tt_urv
0096283,My Neighbor Totoro,1988,Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka,8.2,https://www.imdb.com/title/tt0096283/reviews?ref_=tt_urv
0089881,Ran,1985,Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao,8.2,https://www.imdb.com/title/tt0089881/reviews?ref_=tt_urv
0268978,A Beautiful Mind,2001,Ron Howard (dir.), Russell Crowe, Ed Harris,8.2,https://www.imdb.com/title/tt0268978/reviews?ref_=tt_urv
0042192,All About Eve,1950,Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter,8.2,https://www.imdb.com/title/tt0042192/reviews?ref_=tt_urv
0457430,Pan's Labyrinth,2006,Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil,8.2,https://www.imdb.com/title/tt0457430/reviews?ref_=tt_urv
0112641,Casino,1995,Martin Scorsese (dir.), Robert De Niro, Sharon Stone,8.2,https://www.imdb.com/title/tt0112641/reviews?ref_=tt_urv
0091251,Come and See,1985,Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova,8.2,https://www.imdb.com/title/tt0091251/reviews?ref_=tt_urv
0081398,Raging Bull,1980,Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty,8.2,https://www.imdb.com/title/tt0081398/reviews?ref_=tt_urv
1305806,The Secret in Their Eyes,2009,Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil,8.2,https://www.imdb.com/title/tt1305806/reviews?ref_=tt_urv
0120735,Lock, Stock and Two Smoking Barrels,1998,Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher,8.2,https://www.imdb.com/title/tt0120735/reviews?ref_=tt_urv
0993846,The Wolf of Wall Street,2013,Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill,8.1,https://www.imdb.com/title/tt0993846/reviews?ref_=tt_urv
0040897,The Treasure of the Sierra Madre,1948,John Huston (dir.), Humphrey Bogart, Walter Huston,8.1,https://www.imdb.com/title/tt0040897/reviews?ref_=tt_urv
0055031,Judgment at Nuremberg,1961,Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster,8.1,https://www.imdb.com/title/tt0055031/reviews?ref_=tt_urv
0476735,Babam ve Oglum,2005,Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan,8.1,https://www.imdb.com/title/tt0476735/reviews?ref_=tt_urv
5027774,Three Billboards Outside Ebbing, Missouri,2017,Martin McDonagh (dir.), Frances McDormand, Woody Harrelson,8.1,https://www.imdb.com/title/tt5027774/reviews?ref_=tt_urv
0071315,Chinatown,1974,Roman Polanski (dir.), Jack Nicholson, Faye Dunaway,8.1,https://www.imdb.com/title/tt0071315/reviews?ref_=tt_urv
0015864,The Gold Rush,1925,Charles Chaplin (dir.), Charles Chaplin, Mack Swain,8.1,https://www.imdb.com/title/tt0015864/reviews?ref_=tt_urv
0046912,Dial M for Murder,1954,Alfred Hitchcock (dir.), Ray Milland, Grace Kelly,8.1,https://www.imdb.com/title/tt0046912/reviews?ref_=tt_urv
0469494,There Will Be Blood,2007,Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano,8.1,https://www.imdb.com/title/tt0469494/reviews?ref_=tt_urv
0434409,V for Vendetta,2005,James McTeigue (dir.), Hugo Weaving, Natalie Portman,8.1,https://www.imdb.com/title/tt0434409/reviews?ref_=tt_urv
2096673,Inside Out,2015,Pete Docter (dir.), Amy Poehler, Bill Hader,8.1,https://www.imdb.com/title/tt2096673/reviews?ref_=tt_urv
0050976,The Seventh Seal,1957,Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand,8.1,https://www.imdb.com/title/tt0050976/reviews?ref_=tt_urv
1291584,Warrior,2011,Gavin O'Connor (dir.), Tom Hardy, Nick Nolte,8.1,https://www.imdb.com/title/tt1291584/reviews?ref_=tt_urv
0477348,No Country for Old Men,2007,Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem,8.1,https://www.imdb.com/title/tt0477348/reviews?ref_=tt_urv
0117951,Trainspotting,1996,Danny Boyle (dir.), Ewan McGregor, Ewen Bremner,8.1,https://www.imdb.com/title/tt0117951/reviews?ref_=tt_urv
3170832,Room,2015,Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay,8.1,https://www.imdb.com/title/tt3170832/reviews?ref_=tt_urv
0080678,The Elephant Man,1980,David Lynch (dir.), Anthony Hopkins, John Hurt,8.1,https://www.imdb.com/title/tt0080678/reviews?ref_=tt_urv
3417422,Drishyam,2013,Jeethu Joseph (dir.), Mohanlal, Meena,8.1,https://www.imdb.com/title/tt3417422/reviews?ref_=tt_urv
0167404,The Sixth Sense,1999,M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment,8.1,https://www.imdb.com/title/tt0167404/reviews?ref_=tt_urv
1130884,Shutter Island,2010,Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer,8.1,https://www.imdb.com/title/tt1130884/reviews?ref_=tt_urv
0084787,The Thing,1982,John Carpenter (dir.), Kurt Russell, Wilford Brimley,8.1,https://www.imdb.com/title/tt0084787/reviews?ref_=tt_urv
0031381,Gone with the Wind,1939,Victor Fleming (dir.), Clark Gable, Vivien Leigh,8.1,https://www.imdb.com/title/tt0031381/reviews?ref_=tt_urv
0050212,The Bridge on the River Kwai,1957,David Lean (dir.), William Holden, Alec Guinness,8.1,https://www.imdb.com/title/tt0050212/reviews?ref_=tt_urv
0083658,Blade Runner,1982,Ridley Scott (dir.), Harrison Ford, Rutger Hauer,8.1,https://www.imdb.com/title/tt0083658/reviews?ref_=tt_urv
